last_name, first_name,player_id,year,pitch_hand,n,n_ff_formatted,ff_avg_speed,ff_avg_spin,n_fastball_formatted,fastball_avg_speed,fastball_avg_spin,n_breaking_formatted,breaking_avg_speed,breaking_avg_spin,n_offspeed_formatted,offspeed_avg_speed,offspeed_avg_spin,
Bumgarner, Madison,518516,2015,L,3122,40.6,92.6,2315,49.2,92.7,2311,48.7,83.4,2227,2.1,85.5,1626,
Harvey, Matt,518774,2015,R,2617,39.8,96.5,2335,61.3,96.6,2332,26.6,87.5,2239,12.1,89,1948,
Heston, Chris,518790,2015,R,2725,2.3,90.1,2109,60.8,89.5,2064,27.3,75.8,2199,11.9,82.7,1932,
Nelson, Jimmy,519076,2015,R,2671,23.6,94,2275,60.5,94.1,2175,38.4,85.4,1990,1.2,85.9,2107,
Porcello, Rick,519144,2015,R,2712,31.4,92.1,2497,65.2,91.6,2437,24,80.4,2593,10.7,82.9,1688,
Sale, Chris,519242,2015,L,3236,0.2,95.7,2341,52.4,95.2,2280,19.6,79.4,2204,28,86.3,2100,
Zimmermann, Jordan,519455,2015,R,2975,61.2,93.6,2328,62.1,93.7,2328,37.5,85.3,2272,0.4,88.7,2164,
De La Rosa, Rubby,523989,2015,R,2978,44.6,95.1,2302,60.5,94.8,2263,18.3,85.5,1905,21.2,87,2060,
Teheran, Julio,527054,2015,R,3218,42.3,92.1,2266,61.3,91.8,2197,30.6,79,1941,8.1,83.3,1507,
Ramirez, Erasmo,541640,2015,R,2359,39.3,91.5,2221,55.2,91.5,2219,21.5,83.2,2198,23.3,81.3,1677,
Cole, Gerrit,543037,2015,R,3207,50.6,96.3,2155,67,96.3,2154,29.4,86.2,2160,3.6,88.8,1708,
DeSclafani, Anthony,543101,2015,R,2832,33.7,93.4,2176,61.9,93.1,2070,30.9,85.8,2037,7.3,86.3,1630,
Gray, Sonny,543243,2015,R,3064,37,93.7,2361,62.7,93.5,2336,30.1,84.4,2426,7.1,88.1,1794,
Hendricks, Kyle,543294,2015,R,2746,2.7,90.9,2320,72.5,88.8,2095,7.3,78.3,2472,20.2,80.7,2119,
Koehler, Tom,543408,2015,R,2905,42.1,92.6,2095,57.8,92.7,2091,37.2,82,2292,5,85,1691,
McHugh, Collin,543521,2015,R,3209,30.6,91,2141,72.3,89,2259,23.5,73.3,2545,4.2,82.8,1620,
Odorizzi, Jake,543606,2015,R,2725,36,91.9,2180,63.1,90.9,2152,6.9,77.6,2051,30,85.6,1457,
Bauer, Trevor,545333,2015,R,2798,41.1,93.5,2225,66.5,92.1,2218,21,80.7,2349,12.5,85.8,1647,
Ventura, Yordano,570649,2015,R,2517,29.2,97.3,2200,61.2,96.8,2155,24.2,84.6,2550,14.6,87.9,1425,
Fiers, Mike,571666,2015,R,2962,58.2,90,2185,68.1,89.2,2184,16.1,72.9,2537,15.8,83.6,1792,
Miller, Shelby,571946,2015,R,3120,33,94.8,2301,88.1,93,2216,9.6,78.6,2178,2.3,87,1789,
Richards, Garrett,572070,2015,R,3220,29,96.4,2507,60.8,96.2,2486,39.2,86.7,2782,0,93.2,2416,
Keuchel, Dallas,572971,2015,L,3447,11.4,89.5,2146,66.9,89.6,2060,19.4,79.8,2022,13.7,79.6,1617,
Walker, Taijuan,592836,2015,R,2607,62.9,94.8,2125,74.3,94.3,2130,7.8,74.7,1920,17.9,89.4,1486,
Martinez, Carlos,593372,2015,R,2784,31.5,96.4,2093,56.8,96,2038,25.8,85.7,1897,17.3,87.4,1990,
deGrom, Jacob,594798,2015,R,2929,46.5,95.7,2261,62.5,95.6,2231,25.4,87.2,2268,12.1,86,1739,
Wacha, Michael,608379,2015,R,2795,58.1,94.8,2103,70.8,93.9,2091,12.8,76.4,2046,16.4,87.1,1518,
Chen, Wei-Yin,612672,2015,L,2962,43.6,92.3,2109,64.3,92,2075,25.4,80.6,2110,10.3,83.4,1488,
Wood, Alex,622072,2015,L,2866,,,,58.9,89.7,1915,22.1,80.8,1768,18.9,83.6,1815,
Wainwright, Adam,425794,2019,R,2784,13.6,89.6,2191,61.1,88,2238,36.8,74.9,2752,2,83.9,1769,
Greinke, Zack,425844,2019,R,3085,41.2,89.9,2326,46.7,89.9,2318,31,77.4,2481,22.3,87.3,1779,
Verlander, Justin,434378,2019,R,3242,49.9,94.6,2577,49.9,94.6,2577,45.9,84.5,2690,4.2,86.9,1866,
Sanchez, Anibal,434671,2019,R,2689,30.1,90.2,2238,63.3,89.3,2251,8.7,78.9,2180,28,82.1,1670,
Morton, Charlie,450203,2019,R,3138,29.8,94.7,2259,59.4,92.8,2237,37.3,78.6,2886,3.3,84.9,2124,
Lester, Jon,452657,2019,L,3041,28.3,90.6,2251,72.7,89.1,2302,15.4,74.5,2606,11.9,84.3,1939,
Scherzer, Max,453286,2019,R,2769,48.4,94.9,2474,56.2,94.2,2470,29.4,83.5,2472,14.5,84.3,1551,
Bailey, Homer,456701,2019,R,2656,48,93,2095,50.5,93,2091,23.5,83.9,1872,26,84.2,1122,
Lynn, Lance,458681,2019,R,3435,54.1,94.6,2482,87.5,93.2,2467,9.5,81.2,2352,3,86.9,1811,
Nova, Ivan,467100,2019,R,2946,17.9,92.5,2246,67.4,91.3,2181,16.8,79.9,2257,15.8,86.2,2000,
Anderson, Brett,474463,2019,L,2659,18.6,89.4,2028,62.4,90.3,1867,24.1,80.5,2386,13.4,82.6,1481,
Kershaw, Clayton,477132,2019,L,2575,43.9,90.3,2477,43.9,90.3,2477,55.5,82.9,2606,0.6,85.2,2210,
Miley, Wade,489119,2019,L,2863,15.8,90.8,2210,69.1,88.3,2229,10.3,76.1,2425,20.7,81.2,1869,
Quintana, Jose,500779,2019,L,2734,36.4,91.4,2016,61.8,91.4,2000,27.2,77,2215,11,86.5,1287,
Minor, Mike,501985,2019,L,3357,44.6,92.5,2650,44.6,92.5,2650,30.8,84.3,2660,24.6,86.2,2287,
Samardzija, Jeff,502188,2019,R,3001,27.7,91.6,2571,71.8,90.8,2559,20.5,83.6,2455,7.7,82.3,1451,
Leake, Mike,502190,2019,R,2968,14.4,88.6,2086,58.8,87.6,2131,20.5,79.9,2533,20.7,84,1719,
Darvish, Yu,506433,2019,R,2846,26.8,94.1,2529,75.1,90.5,2533,20.7,80.7,2690,4.2,88.1,1426,
Bumgarner, Madison,518516,2019,L,3239,42.9,91.4,2405,76.3,89.6,2441,18.3,78.8,2645,5.4,84.2,1641,
Kelly, Merrill,518876,2019,R,2962,37.3,92,2411,65.2,91.3,2403,21.3,80.6,2683,13.4,86,2109,
Porcello, Rick,519144,2019,R,2927,31.4,91,2434,57,90.4,2370,31.1,80.5,2660,11.9,80.8,1600,
Perez, Martin,527048,2019,L,2771,17.5,94.2,2131,73.1,91.7,2178,4.7,79.2,2637,22.2,85.3,1795,
Teheran, Julio,527054,2019,R,3034,41.7,89.7,2400,64.4,89.6,2352,27.4,80.4,2643,8.2,83.6,1704,
Cole, Gerrit,543037,2019,R,3360,51.6,97.1,2530,54,97.1,2529,38.6,86.6,2736,7.4,88.6,1870,
DeSclafani, Anthony,543101,2019,R,2587,37.2,94.7,2249,55.3,94.7,2196,39.4,87.1,2217,5.4,88.5,1535,
Gray, Sonny,543243,2019,R,2807,28.6,93.3,2527,48.7,93.2,2493,46.5,83.1,2934,4.7,89.7,2047,
Hendricks, Kyle,543294,2019,R,2690,20.5,87.2,2044,62.2,86.9,1987,9.8,71.4,2784,28.1,78.6,2115,
Roark, Tanner,543699,2019,R,2884,25.5,92.1,2145,55.5,92,2113,34.6,82.4,2436,9.8,84.1,1701,
Strasburg, Stephen,544931,2019,R,3383,28.6,93.9,2167,48.3,93.8,2152,31,81.3,2767,20.7,87.7,1679,
Bauer, Trevor,545333,2019,R,3686,39.7,94.5,2410,58.7,91.8,2457,33.6,79.3,2626,7.7,86,1707,
Tanaka, Masahiro,547888,2019,R,2750,27.3,91.5,2143,33.7,91.1,2108,39.6,82.7,2390,26.7,86.8,1589,
Ryu, Hyun Jin,547943,2019,L,2705,27.3,90.7,2084,60,89.4,2064,12.5,72.8,2568,27.5,80,1487,
Wheeler, Zack,554430,2019,R,3158,30,96.8,2341,59,96.7,2299,29.8,87.6,2473,11.2,88.9,1736,
