last_name, first_name,player_id,year,pitch_hand,n,n_ff_formatted,ff_avg_speed,ff_avg_spin,n_sl_formatted,sl_avg_speed,sl_avg_spin,n_ch_formatted,ch_avg_speed,ch_avg_spin,n_cukc_formatted,cu_avg_speed,cu_avg_spin,n_sift_formatted,si_avg_speed,si_avg_spin,n_fc_formatted,fc_avg_speed,fc_avg_spin,n_fs_formatted,fs_avg_speed,fs_avg_spin,n_kn_formatted,kn_avg_speed,kn_avg_spin,n_fastball_formatted,fastball_avg_speed,fastball_avg_spin,n_breaking_formatted,breaking_avg_speed,breaking_avg_spin,n_offspeed_formatted,offspeed_avg_speed,offspeed_avg_spin,
Urias, Julio,628711,2021,L,692,50,94.2,2511,0.3,84.7,2850,17.1,87.3,1963,31.8,81.7,2911,0.9,94.7,2507,,,,,,,,,,50.9,94.2,2511,32.1,81.7,2910,17.1,87.3,1963,
Manaea, Sean,640455,2021,L,694,,,,,,,26.1,84.1,1394,16,80.2,2017,57.9,91.4,1986,,,,,,,,,,57.9,91.4,1986,16,80.2,2017,26.1,84.1,1394,
Lopez, Pablo,641154,2021,R,716,29.6,93.8,2127,,,,38,87.9,1961,7.5,79.9,2509,14.2,93.6,2005,10.6,91.4,2211,,,,,,,54.5,93.3,2112,7.5,79.9,2509,38,87.9,1961,
Yarbrough, Ryan,642232,2021,L,646,,,,,,,25.7,78.8,2104,17.5,70.9,2312,11.6,86.5,1943,45.2,82.3,2180,,,,,,,56.8,83.1,2132,17.5,70.9,2312,25.7,78.8,2104,
Peralta, Freddy,642547,2021,R,666,55.9,93.3,2410,33.8,80.1,2289,6.5,87.7,1620,3.9,77.1,2306,,,,,,,,,,,,,55.9,93.3,2410,37.7,79.8,2291,6.5,87.7,1620,
Alcantara, Sandy,645261,2021,R,742,24.4,97.6,2320,18.9,89.9,2403,26.5,91.6,2032,4.9,84.2,2433,25.3,97,2365,,,,,,,,,,49.7,97.3,2343,23.7,88.7,2409,26.5,91.6,2032,
Civale, Aaron,650644,2021,R,679,26.8,91.3,2309,13,83,2721,,,,16.8,76.9,2757,7.8,91.6,2307,21.1,87.4,2478,14.6,84.9,1610,,,,55.7,89.9,2373,29.7,79.6,2741,14.6,84.9,1610,
Flaherty, Jack,656427,2021,R,801,49.6,93.7,2244,30.6,83.8,2403,1.9,84.1,1619,11.4,76.5,2396,6.6,91.2,2103,,,,,,,,,,56.2,93.4,2227,41.9,81.8,2401,1.9,84.1,1619,
Montgomery, Jordan,656756,2021,L,571,12.1,92.5,2275,0.2,90.4,2200,23.8,82.9,1731,24,79.7,2240,22.1,92.4,2193,17.9,88.3,2422,,,,,,,52,91,2291,24.2,79.8,2240,23.8,82.9,1731,
Webb, Logan,657277,2021,R,634,14.5,93,2221,21.1,82.1,2763,30.9,85.6,1548,,,,31.5,92.2,2111,1.9,90.8,2323,,,,,,,47.9,92.4,2153,21.1,82.1,2763,30.9,85.6,1548,
Ynoa, Huascar,660623,2021,R,607,42.2,96.7,2172,46.3,85,2463,5.6,88.1,1767,,,,5.9,96.1,2122,,,,,,,,,,48.1,96.6,2166,46.3,85,2463,5.6,88.1,1767,
Mize, Casey,663554,2021,R,629,30.2,94.6,2262,23.7,87.8,2282,,,,6.8,82.4,2362,21.9,93.6,2196,,,,17.3,87.2,1270,,,,52.1,94.2,2235,30.5,86.6,2300,17.3,87.2,1270,
Brubaker, JT,664141,2021,R,572,23.4,92.8,2195,34.8,87,2641,7.5,87.2,1934,8.6,79.7,2821,25.7,93.3,2281,,,,,,,,,,49.1,93.1,2240,43.4,85.5,2677,7.5,87.2,1934,
Javier, Cristian,664299,2021,R,637,55.7,93,2330,25.7,81.3,2509,8.9,86.1,1921,9.6,76.1,2925,,,,,,,,,,,,,55.7,93,2330,35.3,79.9,2622,8.9,86.1,1921,
Urquidy, Jose,664353,2021,R,687,53.3,92.1,2194,20.4,78.6,2445,19.8,83.6,1846,6.6,75.9,2534,,,,,,,,,,,,,53.3,92.1,2194,26.9,77.9,2467,19.8,83.6,1846,
Anderson, Ian,666120,2021,R,645,45.4,94.6,2055,,,,33.2,87.9,1710,20.8,80.3,1912,0.6,94.7,2081,,,,,,,,,,46,94.6,2055,20.8,80.3,1912,33.2,87.9,1710,
Plesac, Zach,668676,2021,R,720,39.4,93.2,2043,25.7,87.5,2062,22.6,85.8,1624,12.2,80.8,1937,,,,,,,,,,,,,39.4,93.2,2043,37.9,85.3,2021,22.6,85.8,1624,
Rogers, Trevor,669432,2021,L,675,62.8,94.9,2393,15.1,82.3,2131,21.9,86.6,1488,,,,0.1,94.9,2647,,,,,,,,,,63,94.9,2393,15.1,82.3,2131,21.9,86.6,1488,
Bieber, Shane,669456,2021,R,860,35.6,93,2358,26.9,86,2706,4.1,87.9,1805,31.3,83.2,2475,,,,2.2,88.9,2597,,,,,,,37.8,92.8,2372,58.1,84.5,2581,4.1,87.9,1805,
Colon, Bartolo,112526,2016,R,2797,25.9,90.4,2264,6.4,82.4,2282,4.2,81.5,1683,,,,63.5,87.6,2100,,,,,,,,,,89.4,88.4,2148,6.4,82.4,2282,4.2,81.5,1683,
Sabathia, CC,282332,2016,L,2895,35.6,89,2192,22.9,80.4,2085,5.8,82.5,1957,,,,35.7,89.6,2019,,,,,,,,,,71.4,89.3,2104,22.9,80.4,2085,5.8,82.5,1957,
Dickey, R.A.,285079,2016,R,2653,13,82.9,1889,,,,,,,,,,,,,,,,,,,87,76.6,1592,13,82.9,1889,87,76.6,1592,,,,
Lackey, John,407793,2016,R,2740,37.2,92.4,2270,,,,5.5,84.9,1871,13.5,78.9,2329,20.9,92.2,2225,22.8,83.9,2190,,,,,,,81,90,2244,13.5,78.9,2329,5.5,84.9,1871,
Wainwright, Adam,425794,2016,R,3148,13,90.8,2192,,,,2.6,83.3,1583,26.9,74.4,2657,27.6,91.1,2153,29.9,85.9,2348,,,,,,,70.5,88.8,2241,26.9,74.4,2657,2.6,83.3,1583,
Santana, Ervin,429722,2016,R,2882,51.1,93.4,2250,39.5,84.1,2081,7.7,85.6,1456,,,,1.7,91.5,2021,,,,,,,,,,52.8,93.3,2243,39.5,84.1,2081,7.7,85.6,1456,
Hamels, Cole,430935,2016,L,3203,26.6,92.6,2083,,,,18.3,84.8,1623,14.6,79.8,2141,24.1,93.2,2090,16.5,89.2,2025,,,,,,,67.2,92,2071,14.6,79.8,2141,18.3,84.8,1623,
Verlander, Justin,434378,2016,R,3655,57.8,94.1,2558,17.8,88.5,2474,8.5,85.9,2057,16,79.2,2766,,,,,,,,,,,,,57.8,94.1,2558,33.7,84.1,2612,8.5,85.9,2057,
Liriano, Francisco,434538,2016,L,2775,2.5,93.1,2094,29.1,85.9,2231,19.5,85.9,1784,0.1,77.1,2208,48.8,93.4,2038,,,,,,,,,,51.2,93.3,2040,29.2,85.9,2231,19.5,85.9,1784,
Hammel, Jason,434628,2016,R,2611,29.1,92.6,2212,36.2,85.7,2378,2.7,85.4,1692,10.5,77.5,2229,21.6,92.8,2179,,,,,,,,,,50.7,92.7,2198,46.6,83.8,2319,2.7,85.4,1692,
Nolasco, Ricky,445060,2016,R,3116,24,91,2099,32.9,81.7,2133,,,,11,73.6,2576,24.6,90.9,1986,,,,7.4,80,1386,,,,48.6,90.9,2041,43.9,79.7,2302,7.4,80,1386,
Kluber, Corey,446372,2016,R,3156,17.2,92.9,2443,24.1,89.4,2640,4.5,85.8,1673,18.6,83.9,2599,35.6,93.1,2243,,,,,,,,,,52.8,93.1,2308,42.7,87,2622,4.5,85.8,1673,
Shields, James,448306,2016,R,3108,24.9,91.1,2289,,,,21.3,84.3,1765,16.5,77.6,2531,18,90.9,2204,19.3,86.8,2332,,,,,,,62.3,89.7,2276,16.5,77.6,2531,21.3,84.3,1765,
Garcia, Jaime,448802,2016,L,2547,29.6,91.1,2416,12.3,82.5,2807,18.1,82.8,2019,6.2,76.1,2805,32.2,91,2271,1.6,91.4,2435,,,,,,,63.4,91.1,2343,18.5,80.4,2806,18.1,82.8,2019,
Volquez, Edinson,450172,2016,R,3220,12.4,94,2312,,,,22.2,84,1200,24.7,80.5,2817,40.7,93.8,2306,,,,,,,,,,53.1,93.8,2308,24.7,80.5,2817,22.2,84,1200,
Weaver, Jered,450308,2016,R,2762,28,83.8,2267,16.7,77,2401,17.1,74.9,1850,22,69.4,2485,16.2,82.8,2117,,,,,,,,,,44.2,83.5,2213,38.7,72.7,2457,17.1,74.9,1850,
Fister, Doug,450729,2016,R,2971,22.2,87.5,1989,,,,6.4,79.5,1640,14.7,70.9,2060,43.3,87.5,1974,13.3,83.4,2096,,,,,,,78.9,86.8,1998,14.7,70.9,2060,6.4,79.5,1640,
Lester, Jon,452657,2016,L,3089,50.9,92.7,2301,,,,4.9,85.4,1744,12.6,75.1,2532,12.9,91.7,2066,18.6,89,2387,,,,,,,82.5,91.7,2283,12.6,75.1,2532,4.9,85.4,1744,
Kennedy, Ian,453178,2016,R,3352,57.8,92.7,2384,8.2,86.5,1872,11.8,84.5,1887,13.8,77.8,2557,8.5,93.3,2409,,,,,,,,,,66.3,92.8,2388,22,81.1,2308,11.8,84.5,1887,
Scherzer, Max,453286,2016,R,3428,54.7,95,2550,22.6,86.8,2343,12,85.9,1514,8.1,78.5,2472,1,95.4,2613,1.7,90.1,2462,,,,,,,57.3,94.8,2549,30.7,84.6,2379,12,85.9,1514,
Arrieta, Jake,453562,2016,R,3101,20.5,94.2,2317,17.9,89.8,2405,4.8,89.3,2070,12.3,81.2,2753,44.5,94.5,2302,,,,,,,,,,65,94.4,2307,30.2,86.3,2581,4.8,89.3,2070,
Price, David,456034,2016,L,3571,13.3,93.6,2176,,,,22.6,85.1,1806,8.7,79.5,2203,36.5,93.4,2118,18.9,88.6,2084,,,,,,,68.7,92.1,2120,8.7,79.5,2203,22.6,85.1,1806,
Cueto, Johnny,456501,2016,R,3251,24.5,92.6,2316,17.8,84.2,2286,19.8,83.3,1573,0.5,73.7,2039,20.9,92,2221,16.5,88,2300,,,,,,,61.9,91.2,2280,18.3,83.9,2280,19.8,83.3,1573,
Happ, J.A.,457918,2016,L,3009,58.5,92.4,2379,12.9,85.6,2233,6.3,84.4,1934,7.3,79,2175,15,91.5,2228,,,,,,,,,,73.5,92.2,2348,20.2,83.2,2212,6.3,84.4,1934,
Tomlin, Josh,458708,2016,R,2556,29.7,88.4,2425,,,,8,83.8,1735,15,75.6,2753,9.2,88.5,2333,38.1,85.9,2618,,,,,,,77,87.2,2508,15,75.6,2753,8,83.8,1735,
Gonzalez, Gio,461829,2016,L,3013,37.5,91.6,2252,,,,16.3,84.3,1708,20.1,77.7,2842,26.1,91.2,2188,,,,,,,,,,63.6,91.4,2226,20.1,77.7,2842,16.3,84.3,1708,
Estrada, Marco,462136,2016,R,2760,41.4,88.5,2403,,,,28.5,77.5,2142,9.9,76.6,2687,,,,20.1,87.7,2433,,,,,,,61.6,88.2,2413,9.9,76.6,2687,28.5,77.5,2142,
Nova, Ivan,467100,2016,R,2295,12.4,93.4,2267,2.8,87.3,2174,4.6,86.9,2006,28.1,80.6,2294,52.1,93.1,2147,,,,,,,,,,64.5,93.2,2171,30.9,81.2,2282,4.6,86.9,2006,
Hellickson, Jeremy,476451,2016,R,2911,30.4,90.7,2105,9.6,86.2,2368,26.2,81.1,1791,15.2,77.2,2968,18.5,90.6,2067,0,86.3,2391,,,,,,,49,90.6,2091,24.8,80.7,2736,26.2,81.1,1791,
Miley, Wade,489119,2016,L,2703,39.4,90.9,2177,20.3,84.8,2217,17.8,83.1,1933,12,77.5,2444,10.5,90.9,2095,,,,,,,,,,49.8,90.9,2160,32.3,82.1,2329,17.8,83.1,1933,
Quintana, Jose,500779,2016,L,3266,44.1,92.6,2065,0,78.5,2217,7.8,86.6,1322,25,78.2,2134,23.1,92.6,1999,,,,,,,,,,67.2,92.6,2042,25,78.2,2134,7.8,86.6,1322,
Pineda, Michael,501381,2016,R,3006,47.5,94.7,2086,40.1,86.1,2004,8.3,89.1,1896,,,,1.4,95.3,2058,2.7,94.4,2041,,,,,,,51.5,94.7,2083,40.1,86.1,2004,8.3,89.1,1896,
Tillman, Chris,501957,2016,R,2926,52.9,92.3,2301,15.6,86.2,2285,15.4,84.3,1651,12.5,75.8,2107,,,,3.7,91.8,2333,,,,,,,56.6,92.3,2303,28,81.6,2183,15.4,84.3,1651,
Archer, Chris,502042,2016,R,3391,48.5,95,2190,40.6,88.8,2315,10.9,87.4,1810,,,,,,,,,,,,,,,,48.5,95,2190,40.6,88.8,2315,10.9,87.4,1810,
Samardzija, Jeff,502188,2016,R,3145,32.8,94.7,2450,17.1,86.8,2382,0.4,89.5,1753,7.9,80.8,2397,19.2,95,2413,15.2,92.8,2499,7.4,86.1,1586,,,,67.2,94.4,2451,25,84.9,2387,7.8,86.3,1595,
Leake, Mike,502190,2016,R,2588,6.7,90.1,2253,9,81.5,2484,8.6,85.6,1837,6.1,79.1,2583,52.6,91.2,2068,16.9,89.8,2246,,,,,,,76.3,90.8,2121,15.1,80.5,2525,8.6,85.6,1837,
Santiago, Hector,502327,2016,L,3120,,,,5.6,79.2,2164,21.4,83.4,2004,3.4,73.8,2113,64.3,91.9,2245,5.3,85.9,2191,,,,,,,69.6,91.5,2242,9.1,77.2,2140,21.4,83.4,2004,
Bettis, Chad,518452,2016,R,3035,48.1,92.3,1963,18.7,86.2,2079,11.7,86.6,1521,11,75.6,2232,10,91.6,1861,0.4,87.2,1974,,,,,,,58.6,92.1,1945,29.7,82.2,2142,11.7,86.6,1521,
Bumgarner, Madison,518516,2016,L,3458,39.9,91.2,2303,30,87.3,2307,3.7,84.3,1720,15.3,75.2,2368,11.1,91.6,2303,0,87.2,2374,,,,,,,51,91.3,2303,45.3,83.2,2328,3.7,84.3,1720,
Duffy, Danny,518633,2016,L,2682,38.3,95.5,2234,0,96.5,2394,17.3,85.8,2512,23.1,84.1,2312,21.2,95.3,2183,,,,,,,,,,59.5,95.4,2216,23.1,84.1,2312,17.3,85.8,2512,
Moore, Matt,519043,2016,L,3139,52.9,93.5,2285,,,,12.6,84.9,1564,22.5,81.9,2514,8.1,93.2,2214,3.9,90.9,2327,,,,,,,64.9,93.3,2279,22.5,81.9,2514,12.6,84.9,1564,
Nelson, Jimmy,519076,2016,R,2964,21.9,93.6,2324,17.1,87.5,2278,0.8,86.4,2004,11.2,83.3,2432,49.1,93.8,2173,,,,,,,,,,71,93.7,2220,28.2,85.9,2363,0.8,86.4,2004,
Pomeranz, Drew,519141,2016,L,2820,39,91.8,2467,,,,9.6,87,2299,39.3,79.7,2160,,,,12.2,86.3,2388,,,,,,,51.2,90.5,2449,39.3,79.7,2160,9.6,87,2299,
Porcello, Rick,519144,2016,R,3378,22.2,92.2,2447,12.8,85.5,2460,13.4,81.4,1688,13.7,74.2,2802,37.9,90.1,2364,,,,,,,,,,60.1,90.9,2395,26.5,79.7,2654,13.4,81.4,1688,
Sale, Chris,519242,2016,L,3314,,,,25.3,79.1,2251,19.5,86.8,2137,,,,55.2,93.7,2235,,,,,,,,,,55.2,93.7,2235,25.3,79.1,2251,19.5,86.8,2137,
Perez, Martin,527048,2016,L,3049,24.8,93.6,2109,10.3,85.6,2276,17.1,84.9,1707,10.5,80.5,2346,37.3,93.1,2033,,,,,,,,,,62.1,93.3,2063,20.8,83,2303,17.1,84.9,1707,
Teheran, Julio,527054,2016,R,2916,47,91.7,2288,26.1,81.6,2249,8.9,82.9,1518,9.3,72.1,2538,8.7,90.3,2072,,,,,,,,,,55.7,91.5,2254,35.4,79.1,2373,8.9,82.9,1518,
Hendricks, Kyle,543294,2016,R,2825,3.7,90.2,2177,,,,26.7,80.7,2113,7.7,76,2880,45.7,88.1,1962,16.2,88.5,2140,,,,,,,65.6,88.3,2018,7.7,76,2880,26.7,80.7,2113,
Koehler, Tom,543408,2016,R,2977,39.8,92.4,2102,24.5,86.1,2195,6.6,85.2,1614,22.7,79.2,2464,6.4,92.8,2038,,,,,,,,,,46.3,92.5,2093,47.1,82.8,2329,6.6,85.2,1614,
McHugh, Collin,543521,2016,R,3086,28.7,90.7,2202,,,,5.2,84.1,1650,30,72.9,2619,6.8,91.1,2170,29.2,87.3,2522,,,,,,,64.7,89.2,2341,30,72.9,2619,5.2,84.1,1650,
Odorizzi, Jake,543606,2016,R,3290,31.1,91.9,2268,9.6,83.1,2140,,,,4,71.8,2338,29.2,92.5,2255,6.3,87.1,2205,19.8,85.3,1514,,,,66.6,91.7,2256,13.6,79.8,2203,19.8,85.3,1514,
Roark, Tanner,543699,2016,R,3333,4.6,92.7,2118,15.1,86,2386,9.8,84.4,1846,12.7,77.8,2735,57.8,92.7,2072,,,,,,,,,,62.4,92.7,2076,27.8,82.2,2555,9.8,84.4,1846,
Bauer, Trevor,545333,2016,R,3007,23.7,94,2245,,,,12.3,87,1739,19.8,77.6,2513,26.8,93.8,2206,17.4,89.6,2480,,,,,,,67.9,92.8,2288,19.8,77.6,2513,12.3,87,1739,
Iwakuma, Hisashi,547874,2016,R,2931,18.7,88.9,2241,18.5,81.8,2207,,,,9.1,71.5,2271,26.1,88.1,2024,8.4,86.1,2213,19.2,83.7,1541,,,,53.2,88.1,2129,27.5,78.4,2230,19.2,83.7,1541,
Tanaka, Masahiro,547888,2016,R,2866,6.6,92.6,2243,27.4,84.5,2223,,,,5.5,76.1,2302,21.5,91,2029,9,89.4,2146,29.9,87.2,1594,,,,37.1,90.9,2096,32.9,83.1,2237,29.9,87.2,1594,
Ventura, Yordano,570649,2016,R,3041,23.2,96.9,2190,,,,18.4,86.7,1500,25.3,83.6,2626,31.4,97,2071,1.6,92,2149,,,,,,,56.2,96.8,2122,25.3,83.6,2626,18.4,86.7,1500,
Fiers, Mike,571666,2016,R,2756,43.3,90,2188,7.1,82,2294,19.5,83.1,1765,19.2,74.4,2667,,,,10.8,86.9,2324,,,,,,,54.1,89.4,2215,26.4,76.5,2581,19.5,83.1,1765,
Keuchel, Dallas,572971,2016,L,2654,9.5,88.8,2157,26.2,78.5,2201,9.3,80,1598,,,,44.1,89.1,2081,10.8,85.8,2125,,,,,,,64.5,88.5,2099,26.2,78.5,2201,9.3,80,1598,
Straily, Dan,573185,2016,R,3021,47.1,89.8,2212,26.1,83.6,2305,17.9,82.9,1314,4.7,73.2,2411,4.2,90,2131,,,,,,,,,,51.3,89.8,2205,30.8,82,2322,17.9,82.9,1314,
Stroman, Marcus,573186,2016,R,3061,13.8,93.3,2341,13.1,85.3,2619,5.1,85.1,1444,6.2,80.9,2708,44.1,93,2250,17.6,89.9,2456,,,,,,,75.5,92.3,2306,19.3,83.9,2654,5.1,85.1,1444,
Gausman, Kevin,592332,2016,R,3072,61.5,95.4,2306,13.4,80.3,2266,1.9,85,1866,,,,4.4,94.7,2264,,,,18.8,85.1,1556,,,,65.9,95.3,2303,13.4,80.3,2266,20.7,85.1,1585,
Gray, Jon,592351,2016,R,2780,55.3,95.8,2183,26.3,89.1,2370,7.4,85.9,1683,11,78.3,2584,,,,,,,,,,,,,55.3,95.8,2183,37.3,85.9,2440,7.4,85.9,1683,
Ray, Robbie,592662,2016,L,3062,46.5,94.9,2277,22.6,84.8,2152,6,87.2,1918,,,,24.8,94.4,2268,,,,,,,,,,71.4,94.7,2274,22.6,84.8,2152,6,87.2,1918,
Sanchez, Aaron,592717,2016,R,2905,19,95.2,2278,,,,8.8,88.8,2051,16.2,78.6,2844,56,95.4,2267,,,,,,,,,,75,95.4,2270,16.2,78.6,2844,8.8,88.8,2051,
Smyly, Drew,592767,2016,L,2874,56.1,90.8,2185,0.6,76.6,1723,5.7,80.3,1477,22.3,76.2,1763,,,,15.3,85.6,2115,,,,,,,71.4,89.7,2170,22.9,76.2,1762,5.7,80.3,1477,
Syndergaard, Noah,592789,2016,R,2910,35.1,98.7,2202,21.1,91.5,2071,11.2,90.3,1765,8.5,83,2218,24.1,98.5,2154,,,,,,,,,,59.2,98.6,2183,29.7,89,2112,11.2,90.3,1765,
Martinez, Carlos,593372,2016,R,3015,27.2,97.2,2129,,,,19.4,87.6,2009,23.4,85.4,2146,30,95.7,2046,,,,,,,,,,57.1,96.4,2085,23.4,85.4,2146,19.4,87.6,2009,
Eickhoff, Jerad,595191,2016,R,2999,36.2,91.6,2237,18,82.5,2141,5.1,84.6,1806,24.1,75.5,2563,16.5,91.5,2149,,,,,,,,,,52.8,91.6,2209,42.1,78.5,2433,5.1,84.6,1806,
Davies, Zach,605200,2016,R,2523,,,,,,,20.7,79,1743,10.7,72.8,2544,56,89.8,2070,12.6,86,2278,,,,,,,68.6,89.1,2106,10.7,72.8,2544,20.7,79,1743,
Fernandez, Jose,605228,2016,R,2894,50.4,95.9,2441,,,,12.5,88.8,1552,33.6,84.4,2379,3.5,94.2,2277,,,,,,,,,,53.9,95.8,2431,33.6,84.4,2379,12.5,88.8,1552,
Finnegan, Brandon,605232,2016,L,2873,12.7,92.3,2230,23.4,84,2142,11.5,85.5,1646,,,,52.5,92.3,2177,,,,,,,,,,65.2,92.3,2187,23.4,84,2142,11.5,85.5,1646,
Rodon, Carlos,607074,2016,L,2702,33,94.2,2243,25.6,87.2,2315,10.6,84.1,1610,,,,30.8,93.9,2108,,,,,,,,,,63.8,94,2178,25.6,87.2,2315,10.6,84.1,1610,
Graveman, Kendall,608665,2016,R,2779,5.9,91.7,2427,6.4,80.2,2320,7.3,85.6,1700,,,,62.5,93.3,2265,17.8,88.3,2399,,,,,,,86.2,92.1,2301,6.4,80.2,2320,7.3,85.6,1700,
Maeda, Kenta,628317,2016,R,2898,29.4,90.7,2348,29.5,82,2375,9.6,83.1,1740,17.9,73,2524,13.5,90.2,2205,,,,,,,,,,42.9,90.6,2302,47.4,78.6,2454,9.6,83.1,1740,
Wainwright, Adam,425794,2020,R,930,9.2,89.2,2218,,,,2.5,81.8,1683,38.3,73.5,2791,27.1,89.3,2188,22.9,85,2343,,,,,,,59.2,87.6,2253,38.3,73.5,2791,2.5,81.8,1683,
Greinke, Zack,425844,2020,R,996,43.4,88.1,2329,17.1,84.5,2422,23.3,86.2,1679,16.2,70.6,2428,0.1,89.7,2259,,,,,,,,,,43.5,88.1,2329,33.2,77.7,2425,23.3,86.2,1679,
Lester, Jon,452657,2020,L,1008,27.8,89.4,2217,,,,13.5,83.4,1905,12.8,73.4,2569,14.1,88.6,2086,31.8,87.4,2350,,,,,,,73.7,88.4,2249,12.8,73.4,2569,13.5,83.4,1905,
Scherzer, Max,453286,2020,R,1213,46,94.7,2472,19.3,85.5,2384,16.1,84.9,1446,9.1,77.1,2782,,,,9.6,91.1,2573,,,,,,,55.6,94,2489,28.4,82.8,2511,16.1,84.9,1446,
Cueto, Johnny,456501,2020,R,1137,33.2,91.4,2224,9.9,84.8,2231,27.1,82.5,1333,19.3,80.7,2337,10.5,90.9,2130,,,,,,,,,,43.7,91.3,2202,29.2,82.1,2301,27.1,82.5,1333,
Lynn, Lance,458681,2020,R,1399,50.2,94,2492,,,,1.1,84.6,1781,8.4,83.9,2618,18.1,92,2327,22.2,89.4,2603,,,,,,,90.5,92.5,2486,8.4,83.9,2618,1.1,84.6,1781,
Carrasco, Carlos,471911,2020,R,1101,34,93.8,2470,28.3,85.9,2807,28,87.7,1374,5.2,83.1,2944,4.5,92.4,2360,,,,,,,,,,38.5,93.6,2457,33.5,85.5,2828,28,87.7,1374,
Gibson, Kyle,502043,2020,R,1139,13.9,92.4,2266,24.6,82.9,2475,17.8,84.4,1652,7.7,78.7,2418,35.6,92.2,2130,0.4,87.6,2688,,,,,,,49.9,92.2,2173,32.3,81.9,2462,17.8,84.4,1652,
Darvish, Yu,506433,2020,R,1150,14.6,95.9,2595,15.1,82,2797,,,,11.7,77.7,2730,8.7,95.3,2492,40.5,86.9,2779,9.4,90.2,1645,,,,63.8,90.1,2698,26.8,80.1,2768,9.4,90.2,1645,
Perez, Martin,527048,2020,L,1033,15.1,92.2,2049,,,,25.8,83.7,1704,9.4,77.7,2521,17.7,91.9,1951,32,88.8,2180,,,,,,,64.9,90.4,2087,9.4,77.7,2521,25.8,83.7,1704,
Cole, Gerrit,543037,2020,R,1203,52.8,96.7,2505,24.4,88.7,2580,5.6,88.3,1750,17.2,83.4,2803,,,,,,,,,,,,,52.8,96.7,2505,41.6,86.5,2672,5.6,88.3,1750,
Hendricks, Kyle,543294,2020,R,1162,20.1,87.4,1972,,,,28.9,79.7,2064,16.6,72.1,2810,34.4,87.3,1863,,,,,,,,,,54.5,87.3,1903,16.6,72.1,2810,28.9,79.7,2064,
Bauer, Trevor,545333,2020,R,1165,47.4,93.5,2779,16.5,80.7,2951,0.3,85,1731,15.7,79.7,2926,0.3,94.1,2780,19.7,85,2908,,,,,,,67.5,91,2817,32.2,80.2,2939,0.3,85,1731,
Ryu, Hyun Jin,547943,2020,L,1132,24.1,89.8,1996,,,,27.8,79.6,1478,13.3,72.4,2539,10.6,89.2,1952,24.2,85.5,2026,,,,,,,58.9,87.9,2001,13.3,72.4,2539,27.8,79.6,1478,
Wheeler, Zack,554430,2020,R,1078,42.1,96.9,2336,15.9,89.8,2399,8.3,90.1,1641,10.1,80.1,2621,23.7,96.6,2206,,,,,,,,,,65.8,96.8,2289,26,86,2485,8.3,90.1,1641,
Boyd, Matthew,571510,2020,L,1086,50.3,91.7,2305,22.7,79.3,2324,17.2,79.1,1900,7.5,74.1,2506,2.4,90.5,2255,,,,,,,,,,52.7,91.7,2303,30.1,78,2369,17.2,79.1,1900,
Corbin, Patrick,571578,2020,L,1068,17.2,90.2,2158,40.3,79.2,2241,5.6,77.7,1550,2.1,65,1852,34.8,90.1,2096,,,,,,,,,,52.1,90.1,2116,42.3,78.5,2222,5.6,77.7,1550,
Heaney, Andrew,571760,2020,L,1085,57.8,91.5,2436,,,,17.4,83,2005,24.8,79.2,2550,,,,,,,,,,,,,57.8,91.5,2436,24.8,79.2,2550,17.4,83,2005,
Keuchel, Dallas,572971,2020,L,960,2.3,88.3,2218,6.6,75.8,2280,27.9,78.6,1705,,,,32.3,87.2,2089,30.9,84.8,2206,,,,,,,65.5,86.1,2149,6.6,75.8,2280,27.9,78.6,1705,
deGrom, Jacob,594798,2020,R,1135,44.9,98.6,2477,35.5,92.5,2565,16.9,91.4,1638,2.6,84.1,2632,,,,,,,,,,,,,44.9,98.6,2477,38.1,91.9,2570,16.9,91.4,1638,
Gonzales, Marco,594835,2020,L,1057,,,,,,,14.3,80.6,2114,16.1,75.3,2294,45.2,88.2,2160,24.4,84.8,2148,,,,,,,69.6,87,2156,16.1,75.3,2294,14.3,80.6,2114,
Bassitt, Chris,605135,2020,R,946,16.6,93.3,2160,3,75.1,2238,10.3,83.6,1971,9.4,70,2194,38.2,92.6,2117,22.6,87.9,2184,,,,,,,77.4,91.4,2146,12.4,71.3,2204,10.3,83.6,1971,
Bundy, Dylan,605164,2020,R,1018,33.6,90,2422,25,79.9,2538,21.3,82.2,1665,11.7,73.5,2349,8.3,90.7,2348,,,,,,,,,,41.9,90.1,2407,36.7,77.9,2478,21.3,82.2,1665,
Davies, Zach,605200,2020,R,1055,,,,,,,41.3,79.4,1728,2.8,74.5,2509,42.2,88.4,2056,13.6,86.9,2192,,,,,,,55.8,88.1,2089,2.8,74.5,2509,41.3,79.4,1728,
Nola, Aaron,605400,2020,R,1148,25.3,92.8,2184,,,,27.4,84.9,1518,26.7,78.6,2499,20.7,91.7,2097,,,,,,,,,,46,92.3,2145,26.7,78.6,2499,27.4,84.9,1518,
Woodruff, Brandon,605540,2020,R,1211,34.5,96.6,2457,10.9,88.2,2525,17.5,86.7,1817,6.4,83.5,2606,30.6,96.3,2364,,,,,,,,,,65.2,96.4,2413,17.3,86.4,2555,17.5,86.7,1817,
